"code_module","code_presentation","id_student","id_site","date","sum_click"
"AAA","2013J","28400","546652","-10","4"
"AAA","2013J","28400","546652","-10","1"
"AAA","2013J","28400","546652","-10","1"
"AAA","2013J","28400","546614","-10","11"
"AAA","2013J","28400","546714","-10","1"
"AAA","2013J","28400","546652","-10","8"
"AAA","2013J","28400","546876","-10","2"
"AAA","2013J","28400","546688","-10","15"
"AAA","2013J","28400","546662","-10","17"
"BBB","2013B","333129","542864","-9","3"
"BBB","2013B","333129","542808","-9","4"
"BBB","2013B","333129","542795","-9","1"
"BBB","2013B","333129","542808","-9","6"
"BBB","2013B","333129","542795","-9","1"
"BBB","2013B","334291","543068","-9","1"
"BBB","2013B","334291","542808","-9","1"
"BBB","2013B","334291","542808","-9","2"
"BBB","2013B","334291","543071","-9","3"
"BBB","2013B","334291","542889","-9","11"
"AAA","2014J","28400","546652","10","1"
"AAA","2014J","28400","546652","10","8"
"AAA","2014J","28400","546652","10","2"
"AAA","2014J","28400","546614","10","15"
"AAA","2014J","28400","546714","10","17"
"AAA","2014J","28400","546652","10","8"
"AAA","2014J","28400","546876","10","2"
"AAA","2014J","28400","546688","10","15"
"AAA","2014J","28400","546662","10","17"
"AAA","2014J","28400","546652","15","1"
"AAA","2014J","28400","546652","15","8"
"AAA","2014J","28400","546652","15","2"
"AAA","2014J","28400","546614","15","15"
"AAA","2014J","28400","546714","15","17"
"AAA","2014J","28400","546652","15","8"
"AAA","2014J","28400","546876","30","2"
"AAA","2014J","28400","546688","30","15"
"AAA","2014J","28400","546662","30","17"
"BBB","2014B","333129","542864","16","3"
"BBB","2014B","333129","542808","18","4"
"BBB","2014B","333129","542795","24","1"
"BBB","2014B","333129","542808","24","6"
"BBB","2014B","333129","542795","24","1"
"BBB","2014B","334291","543068","24","1"
"BBB","2014B","334291","542808","29","1"
"BBB","2014B","334291","542808","29","2"
"CCC","2014J","334291","543068","-10","1"
"CCC","2014J","334291","542808","5","1"
"CCC","2014J","334291","542808","5","2"
"CCC","2014J","334291","542808","5","3"
"CCC","2014J","334291","542808","5","4"
"CCC","2014J","334291","542808","5","5"
"CCC","2014J","334291","542808","5","6"
